allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Liquid Aminos,,,,4.0,,11.6,
,Organic Canola Oil Refined,100.0,3586.0,,,,,
,Organic Shoyu,,234.0,,5.56,,11.11,
,Organic Wheat-Free Tamari,,234.0,,5.56,,11.11,
,Organic Grade B Maple Syrup,,1393.0,86.67,86.67,,,
,Curry Lentil Soup Mix,1.92,1289.0,5.77,51.92,28.8,25.0,
,Split Pea Soup Mix,1.43,1314.0,8.57,57.14,22.9,22.86,
,Whole Wheat 'N Honey Fig Bars,6.67,1255.0,26.67,56.67,10.0,10.0,
,Chocolate Nut Crunch,26.67,1954.0,36.67,53.33,6.7,10.0,
,Lion Peanut x2,,,,,,,
,Milk Chocolate Peanut Butter Malt Balls,27.5,2197.0,57.5,60.0,2.5,7.5,
,Organic Tamari Pumpkin Seed,41.18,2092.0,2.94,17.65,8.8,26.47,
,Yogurt Pretzels,20.0,2092.0,47.5,72.5,,5.0,
,Organic Kamut Flakes,1.25,941.0,,42.5,5.0,10.0,
,Regular Rolled Oats,7.69,1611.0,,65.38,11.5,15.38,
,Quick Rolled Oats,7.69,1611.0,,65.38,11.5,15.38,
,Organic Bulgur,1.7,1464.0,,75.0,17.5,12.5,
,Organic Toasted Buckwheat Groats,2.44,1427.0,,73.17,9.8,12.2,
,Organic Rolled Barley Flakes,1.79,1197.0,,64.29,10.7,10.71,
,Multigrain Cereal Flakes,2.63,1540.0,,76.32,5.3,13.16,
,8-Grain Wheat Free Cereal,6.25,1569.0,,67.5,15.0,12.5,
,Swiss-Style Muesli,16.36,1749.0,16.36,60.0,10.9,12.73,
,Organic Hulless Barley,2.17,1548.0,,73.91,17.4,13.04,
,Organic Millet,3.12,1569.0,,75.0,12.5,12.5,
,Organic Popcorn,4.0,1506.0,,72.0,12.0,12.0,
,Organic Soft White Wheat Berries,2.13,1423.0,,72.34,12.8,14.89,
,Organic Pearled Barley,2.0,1506.0,,78.0,16.0,10.0,
,Organic Wheat Bran,3.33,837.0,,66.67,40.0,13.33,
,Organic Raw Buckwheat Groats,3.33,1393.0,,71.11,11.1,13.33,
,Organic Oat Bran,6.9,1661.0,,68.97,17.2,20.69,
,Organic Thick Cut Rolled Oats,7.69,1527.0,,61.54,11.5,15.38,
,Organic Regular Rolled Oats,7.69,1527.0,,38.46,11.5,15.38,
,Moelleux,8.5,134.0,1.6,1.8,16.0,5.2,
,Organic Steel-Cut Oats,7.5,1778.0,,72.5,12.5,17.5,
,Organic Spelt Berries,2.17,1184.0,,69.57,17.4,15.22,
,Organic Quick Rolled Oats,7.5,1883.0,2.5,75.0,12.5,17.5,
,Countrywild Rice Blend,3.33,1393.0,,77.78,6.7,6.67,
,Organic Arboria Rice,2.22,1490.0,,95.56,2.2,13.33,
,Lundberg Organic Golden Rose Medium Brown Rice,1.96,1314.0,,66.67,2.0,5.88,
,Twix x2,,,,,,,
,Lundberg Olde World Pilaf,3.33,1423.0,2.22,73.33,10.0,11.11,
,Pack de 2 Twix,4.17,1481.0,,77.08,6.2,6.25,
,Organic Short Grain Brown Rice,2.94,1393.0,,78.43,5.9,5.88,
,Organic Sweet Brown Rice,0.98,1477.0,,78.43,3.9,7.84,
,Organic California White Sushi Rice,,1490.0,,80.0,2.2,6.67,
,Organic Harvest Pilaf,2.22,1674.0,2.22,71.11,13.3,15.56,
,Organic Wild Rice,12.0,1452.0,,72.0,8.0,12.0,
,Vanilla Extract,,1255.0,25.0,25.0,,,
,Poulet roti,,,,,,,
,Organic Flax Seed,35.71,2092.0,,39.29,21.4,17.86,
,Cranberries,0.0,1255.0,66.67,83.33,10.0,0.0,
,Rémi,,,,,,,
,Turkish Apricots,0.0,1046.0,52.5,62.5,7.5,2.5,
,Banana Chips Sweetened,28.57,2243.0,14.29,64.29,3.6,3.57,
,Granola Honey Almonds,14.55,1674.0,21.82,60.0,7.3,9.09,
,Chili Mango,2.5,1569.0,65.0,87.5,2.5,2.5,
,Milk Chocolate Pretzels,22.5,1883.0,42.5,70.0,2.5,5.0,
,Peanuts,17.86,1941.0,17.86,60.71,7.1,17.86,
,"M&S Extrenely Chocolatey Milk, Dark & White Chocolate Biscuits",,2179.0,,,,,
,Mont d'Or,26.0,1318.0,1.0,1.0,,18.5,
,Nut'Alsace,,,,,,,
,diet lemonade by Sainsbury's,,5.0,,,,,
,Organic Salted Pistachios,46.43,2540.0,10.71,32.14,10.7,21.43,
,"Organic Dried Turkish Apricots, Bin # 5801",,941.0,47.5,55.0,7.5,2.5,
,Organic Unsalted Pistachios,46.43,2540.0,10.71,32.14,10.7,21.43,
,Organic Medjool Dates,0.1,1218.0,65.7,70.4,1.9,2.2,
,Organic Pitted Prunes,,1464.0,62.5,90.0,7.5,2.5,
,Organic Pitted Deglet Dates,,1255.0,62.5,75.0,7.5,2.5,
,Sweetened Dried Cranberries,,1255.0,65.0,72.5,5.0,2.5,
,Organic Zante Currants,,1046.0,62.5,65.0,5.0,3.75,
,Organic Thompson Raisins,,1360.0,70.0,75.0,5.0,2.5,
,Organic Unrefined Extra Virgin Coconut Oil,100.0,3586.0,,,,,
,Organic Brown Basmati Rice,4.08,1452.0,,77.55,4.1,8.16,
,Organic White Basmati Rice,1.0,1506.0,,82.0,,8.0,
,Organic Unrefined Mascobado Sugar,,1569.0,100.0,100.0,,,
,Organic U.S. Peanuts,48.65,2377.0,4.05,21.62,5.4,24.32,
,Almonds,50.0,2510.0,3.33,20.0,13.3,20.0,
,Pecan Halves,70.42,2946.0,7.04,14.08,7.0,7.04,
,Organic Whole Cashews,47.06,2402.0,5.88,32.35,2.9,14.71,
,Organic Pearl Quinoa,6.25,1778.0,,75.0,7.5,17.5,
,Chataignes d'aiguefonfe,18.0,849.0,0.0,44.0,,28.0,
,La jausiereine,,,,,,,
,Fresh Organic Carrots,0.0,159.0,6.41,8.97,2.6,1.28,
,Preparation en poudre pour biscuit Genoise,6.0,1259.0,29.0,52.0,,9.4,
,Décors a parsemer,0.0,1536.0,82.0,91.0,,0.6,
,Billes en chocolat,15.0,1908.0,58.0,74.0,,4.7,
,Stylo glaçage gris,38.0,2427.0,58.0,58.0,,3.0,
,Barre chocolat au lait praliné,13.7,1607.0,13.8,32.5,,29.2,
,Paupière de saumon et st jacques,9.0,611.0,0.25,3.7,,12.8,
,Barbe à papa,0.0,1657.0,99.0,99.0,,0.0,
,Mini muffins fourrés caramel 8+4GRT,20.0,1674.0,35.0,51.0,,2.9,
,Biscuit tigre bio,,,,,,,
